2016-02-11,Clothes,No 1 Shoes,,,,
2016-02-12,Pay,Envelop,,,"3,247.71",
2016-02-13,Tech,Google Storage,,,-2.18,
2016-02-15,Music,Google Music,,,-10.94,
2016-02-15,Food Out,Patisserie Yahagi,,,,
2016-02-15,Groceries,Fresh Choice,,,,
2016-02-15,Purchase,4470Ed,,,,
2016-02-15,Food Out,Seven Cafe,,,,
,,,,,,
2016-02-15,Food Out,Spice 'n' Life,,,,
2016-02-15,Food Out,Red Café,,,,
2016-02-15,Transfer,,,,,
2016-02-16,Tech,Zotero,,,-20,
2016-02-16,Food Out,Burgers & Beer,,,,
2016-02-17,Groceries,Pak N Save Riccarton,,,,
2016-02-17,Food Out,Foo San Restaurant,,,,
2016-02-17,Travel,Air New Zealand,Well Flights,,,
2016-02-17,Entertainment,DA,,,,
2016-02-19,Bank,Dividend/Interest,,,2.31,
2016-02-19,Pay,RATLab,RATLab,,"1,017.26",
2016-02-19,Project,Via paycheck,RATLab,,15,
2016-02-19,Bank,Dividend/Interest,,,,
2016-02-19,Donation,GiveALittle,ChCh Notable trees,,,
2016-02-23,Entertainment,KickStarter,JourneyQuest,,,
2016-02-23,Groceries,Countdown,,,,
2016-02-23,Food Out,Yummy,,,,
2016-02-24,Tech,Jb Hi-Fi,,,,
2016-02-24,Food Out,Southern Cross,,,,
2016-02-24,Food Out,Aroy Terrace,,,,
2016-02-24,Food Out,Southern Cross,,,,
2016-02-24,Food Out,Airport food,,,,
2016-02-24,Cash Out,Cial - Site  BNZ ATM,,,,
2016-02-24,Travel,Parking,PURCHASES,,,
2016-02-25,Pay,UW,,,86.89,
2016-02-25,Food Out,The Brewery,,,,
2016-02-25,Purchase,Tony & Steph guest,,,,
2016-02-26,Food Out,Southern Cross,,,,
2016-02-26,Transfer,Lex contribution,,,,
2016-02-26,Groceries,,,,,
2016-02-26,Liquor,Frank's Liquor,,,,
2016-02-26,Food Out,Dubba Dubba,,,,
2016-02-26,Food Out,Chopsticks,,,,
2016-02-28,Books,Manning,C# In Depth,,,
2016-02-28,Books,Amazon,C# Programming for Beginners,,,
2016-02-28,Books,Amazon,C#: Intermediate,,,
2016-02-28,Books,Amazon,C# Design Pattern Essentials,,,
2016-02-29,Food Out,Metropolitan Market,Lunch,,,
2016-02-29,Transfer,,,,"-9,645.15",
2016-02-29,Bank,Dividend/Interest,,,0.57,
2016-02-29,Pay,Envelop,,,"3,247.71",
2016-02-29,Bank,Dividend/Interest,,,,
2016-02-29,Transfer,Closeout Withdrawal,,,,
2016-02-29,Books,,,,,
2016-02-29,Food Out,Airport food,,,,
2016-02-29,Food Out,French Bakery,,,,
2016-02-29,Food Out,Joe's Garage,,,,
2016-02-29,Purchase,M K,,,,
2016-02-29,Travel,Petrol,,,,
2016-03-01,Food Out,Airline food,,,,
2016-03-01,Donation,To Ruby,,,,
2016-03-02,Bank,Fee,,,,
2016-03-02,Bank,Fee,,,,
2016-03-03,Entertainment,Patreon,,,,
2016-03-03,Food Out,Umi Sake,,,,
2016-03-03,Food Out,Palace Ballroom,,,,
2016-03-03,Tech,Hosting,,,,
2016-03-03,Tech,Amazon,Small items,,,
2016-03-03,Tech,Amazon,Backup Hard drives,,,
2016-03-03,Entertainment,ATC,,,,
2016-03-03,Entertainment,,,,,
2016-03-04,Food Out,Metropolitan Market,,,,
2016-03-04,Transfer,,,,,
2016-03-04,Project,Eventbrite Payout,Watch The Skies Jan 2016,,,
2016-03-04,Pay,RATLab,,,"1,017.26",
2016-03-05,Travel,Gas,,,,
2016-03-05,Food Out,Oodles Noodles,,,,
2016-03-05,Misc,VR Meetup,,,,
2016-03-07,Food Out,Columbia Tower,,,,
2016-03-07,Tech,Amazon,Headphones,,,
2016-03-07,Entertainment,Subscriptions,SF,,,
2016-03-07,Travel,Parking,,,,
2016-03-07,Joint,Amazon,Luma,,,
2016-03-08,Food Out,Metropolitan Market,,,,
2016-03-08,Joint,Taqueria El Riconsito,,,,
2016-03-08,Cash Out,,,,,
2016-03-08,Food Out,Walgreens,,,,
2016-03-09,Travel,Arco,,,,
2016-03-09,Groceries,Fred Meyer,,,,
2016-03-09,Food Out,Oodles Noodles,,,,
2016-03-09,Phone,T-Mobile,,,,
2016-03-09,Project,Stock photos,VR Hackathon April 2016,,,
2016-03-09,Project,VistaPrint,VR Hackathon April 2016,,,
2016-03-09,Travel,Gas,,,,
2016-03-10,Purchase,Home Depot,seeds,,,
2016-03-10,Pay,UW,,,18.02,
2016-03-11,Travel,BART,,,,
2016-03-11,Travel,BART,,,,
2016-03-12,Travel,BART,,,,
2016-03-12,Food Out,The Market on Main,,,,
2016-03-12,Food Out,Airport,,,,
2016-03-12,Food Out,Jimmy John's,,,,
2016-03-14,Music,Google Music,,,,
2016-03-14,Food Out,Seven 11,,,,
2016-03-14,Project,El Camino Inn,San Fran trip,,,
2016-03-14,Tech,Google,Storage,,,
2016-03-14,Liquor,Bloodhound,,,,
2016-03-14,Food Out,Coffee Bean & Tea Leaf,,,,
2016-03-14,Travel,Baggage fee,,,,
2016-03-14,Tech,NewsBlue,,,,
2016-03-15,Travel,BART,,,,
2016-03-15,Food Out,City Café El Camino,,,,
2016-03-15,Tech,Google Domains,Seattle VR,,,
2016-03-15,Food Out,Cioppino's on the Wharf,SF,,,
2016-03-15,Pay,Envelop VR,,,"3,039.38",
2016-03-16,Food Out,Metropolitan Market,,,,
2016-03-16,Food Out,Sizzler's,,,,
2016-03-16,Food Out,Piazza Pelligrini (SF),,,,
2016-03-17,Tech,Unity with the Best,,,,
2016-03-17,Joint,Kiku's,,,,
2016-03-17,Travel,Baggage fee,,,,
2016-03-17,Books,Compass Books,,,,
2016-03-17,Food Out,Airport Food,,,,
2016-03-18,Bank,Dividend/Interest,,,0.04,
2016-03-18,Food Out,Potbelly,,,,
2016-03-18,Pay,RATLab,,,"1,017.26",
2016-03-19,Travel,Uber,,,,
2016-03-19,Phone,T-Mobile,,,,
2016-03-19,Food Out,Airport food,,,,
2016-03-19,Travel,Parking,,,,
2016-03-19,Liquor,The Temple (SF),,,,
2016-03-19,Groceries,Gas Station,,,,
2016-03-21,Travel,Uber,,,,
2016-03-21,Food Out,Handi Indian,,,,
2016-03-21,Food Out,Copper River Grill,,,,
2016-03-21,Tech,Google Domains,VR Patterns / Tropes,,,
2016-03-21,Tech,Google Domains,MR Patterns,,,
2016-03-21,Travel,Uber,,,,
2016-03-21,Food Out,Jamaica Ma Irie,,,,
2016-03-21,Travel,Baggage fee,,,,
2016-03-22,Travel,Uber,,,,
2016-03-22,Travel,Uber,,,,
2016-03-22,Food Out,The Trappe Door,,,,
2016-03-23,Travel,Uber,,,,
2016-03-23,Travel,Uber,,,,
2016-03-24,Food Out,Airport Food,,,,
2016-03-24,Travel,Uber,,,,
2016-03-24,Food Out,Jamaica Ma Irie,,,,
2016-03-24,Travel,Uber,,,,
2016-03-24,Food Out,Takosushi,,,,
2016-03-24,Tech,Hosting,,,,
2016-03-24,Transfer,,,,,
2016-03-25,Food Out,Airport Food,,,,
2016-03-25,Travel,Uber,,,,
2016-03-25,Bank,Dividend/Interest,,,,
2016-03-25,Sport,Night dive class,,,,
2016-03-26,Food Out,Ooba Tooba,,,,
2016-03-26,Travel,Baggage fee,,,,
2016-03-27,Entertainment,BSB,,,,
2016-03-28,Food Out,Jimmy John's,,,,
2016-03-28,Food Out,Cactus,,,,
2016-03-28,Travel,Car wash,,,,
2016-03-28,Sport,Silent World,,,,
2016-03-28,Travel,Arco,,,,
2016-03-29,Travel,UW,Parking,,,
2016-03-30,Transfer,,,,,
2016-03-30,Food Out,Oodles Noodles,,,,
2016-03-30,Tech,NewEgg,Theta S,,,
2016-03-31,Bank,Dividend/Interest,,,,
2016-03-31,Books,UW Bookstore,,,,
2016-03-31,Pay,Envelop,,,"3,039.38",
